text,category,option_a,option_b,option_c,option_d,correct_option,rationale
A nurse is preparing to administer an oral medication. What should the nurse do first?,pharmacology,Administer the medication,Verify the client's identity,Document the medication,Check the client's temperature,b,Verifying the client's identity using approved identifiers is the first step in safe medication administration.
A client receiving an antihypertensive medication reports dizziness when standing. Which instruction should the nurse provide?,pharmacology,Stop taking the medication,Rise slowly from lying or sitting positions,Drink less water,Take the medication only when blood pressure is high,b,Antihypertensive medications may cause orthostatic hypotension and standing slowly helps prevent falls.
A client receiving insulin is scheduled for breakfast. When should the nurse administer rapid-acting insulin?,pharmacology,One hour before meals,Immediately before the meal,At bedtime,After the meal,b,Rapid-acting insulin should be given just before meals to match the rise in blood glucose.
A client taking furosemide asks why frequent blood tests are needed. Which laboratory value is most important to monitor?,pharmacology,Hemoglobin,Potassium,Platelet count,Calcium,b,Furosemide can cause potassium loss which may lead to dangerous cardiac dysrhythmias.
A client develops itching and hives shortly after receiving an antibiotic. What is the nurse's priority action?,pharmacology,Administer the next dose early,Stop the medication and assess the client,Encourage fluid intake,Document the reaction at the end of the shift,b,Hives and itching may indicate an allergic reaction requiring immediate assessment and discontinuation of the drug.
A client receiving opioid pain medication becomes difficult to arouse. Which assessment is the nurse's priority?,pharmacology,Bowel sounds,Respiratory rate,Skin color,Urine output,b,Respiratory depression is the most serious adverse effect of opioid medications.
A client taking warfarin notices bleeding while brushing the teeth. What should the nurse do first?,pharmacology,Advise the client to stop the medication immediately,Assess for additional signs of bleeding,Encourage vigorous brushing,Recommend taking extra doses,b,Bleeding is a major complication of warfarin and further assessment is the priority.
A client is prescribed nitroglycerin tablets for chest pain. Which instruction is appropriate?,pharmacology,Swallow the tablet with water,Place the tablet under the tongue,Chew the tablet immediately,Take it only after meals,b,Sublingual nitroglycerin is absorbed rapidly through the oral mucosa for quick relief of angina.
A client taking an oral antibiotic says symptoms have improved after three days. What should the nurse advise?,pharmacology,Stop taking the medication,Complete the entire prescribed course,Take the medication only if symptoms return,Reduce the dose by half,b,Completing the full course helps eradicate infection and reduces antibiotic resistance.
A nurse is about to administer digoxin. The client's apical pulse is 54 beats per minute. What should the nurse do?,pharmacology,Administer the medication,Withhold the medication and notify the provider,Double the dose,Administer with food,b,Digoxin should generally be withheld if the apical pulse is below 60 beats per minute in adults.
A client taking metformin is scheduled for a CT scan with intravenous contrast. What action should the nurse anticipate?,pharmacology,Increase the metformin dose,Hold the metformin as prescribed,Administer insulin instead,Give the medication after the scan without delay,b,Metformin is commonly withheld around contrast administration to reduce the risk of lactic acidosis in susceptible clients.
A client asks why acetaminophen should not be taken in excessive amounts. What is the best response?,pharmacology,It can damage the liver,It causes kidney stones,It permanently lowers blood pressure,It increases blood sugar,a,Excessive acetaminophen use can cause serious liver toxicity.
A client receiving heparin therapy develops blood in the urine. Which medication should the nurse expect to administer if prescribed?,pharmacology,Vitamin K,Protamine sulfate,Naloxone,Atropine,b,Protamine sulfate is the antidote used to reverse the effects of heparin.
A client is prescribed an enteric-coated aspirin tablet. Which instruction is correct?,pharmacology,Crush the tablet before swallowing,Swallow the tablet whole,Chew the tablet thoroughly,Dissolve it in water,b,Enteric-coated tablets should be swallowed whole to protect the stomach and preserve the coating.
A client taking iron supplements reports dark-colored stools. What should the nurse tell the client?,pharmacology,This is an expected side effect,Stop taking the medication immediately,Take a laxative daily,The medication is not working,a,Iron supplements commonly cause harmless dark or black stools.
A client with asthma uses an albuterol inhaler. Which finding indicates the medication is effective?,pharmacology,Decreased urine output,Easier breathing and reduced wheezing,Increased appetite,Reduced heart rate,b,Albuterol is a bronchodilator that relieves bronchospasm and improves airflow.
A client receives morphine after surgery. Which side effect should the nurse monitor most closely?,pharmacology,Hair loss,Respiratory depression,Increased appetite,Frequent urination,b,Respiratory depression is the most serious adverse effect associated with opioid medications.
A client taking corticosteroids for several weeks asks if the medication can be stopped today. What is the best response?,pharmacology,Stop it immediately once symptoms improve,Do not stop suddenly because the dose usually needs to be tapered,Take double the dose tomorrow,Only take it when symptoms occur,b,Long-term corticosteroids should be tapered gradually to prevent adrenal insufficiency.
A client is prescribed a proton pump inhibitor for gastric ulcers. How does this medication help?,pharmacology,It increases stomach acid production,It decreases stomach acid production,It stimulates appetite,It speeds bowel movements,b,Proton pump inhibitors promote ulcer healing by reducing gastric acid secretion.
A nurse prepares to administer a medication but notices the prescription is unclear. What is the most appropriate action?,pharmacology,Guess the intended dose,Clarify the prescription before administration,Ask another client about the medication,Administer half the dose,b,Unclear medication orders must always be clarified to ensure safe medication administration.